Title,Question,Answer
What happened to my duck?,"My wife complained about the horrible taste of the breast, while I was happily eating the leg, wouldn't it all tast bad?","Breast meat will become overdone at the point where dark meat is still tasty, but that wouldn't explain smell or taste, and unpleasant smells are almost always related to bacterial issues"
What happened to my duck?,"I tried cooking it a low temperature, but for a longer time, was this wrong?","Cooking the bird slowly seriously reduces the possibility of a ""hot spot"" causing some kind of local taste variance"
What happened to my duck?,"I did not turn the duck, should I have?",CANNOTANSWER
Holes in baked cake,"I baked a chocolate and pear cake whose batter is made with yolks, sugar, butter, melted chocolate and amaretti, flour and baking powder and whisked whites. It was (not very evenly) divided in two layers, sandwiching a layer of pear pieces pre-cooked in rum.### My question is: what are the holes due to?","I have seen this happening more than once. While I don't know the whole theory behind it, each time it happened, there was something just below the hole, let's call it ""the lump"
Holes in baked cake,Uneven division of batter?,"What I think happens is that the lump is too heavy. When the batter below it tries to rise, it doesn't have the strength to push up the lump"
Holes in baked cake,How can this be prevented,"folding the whites very gently, and generally erring on the side of too little whisking"
Holes in baked cake,how do you fold the whites?,CANNOTANSWER
Holes in baked cake,Any other suggestions?,"there are no pear pieces, my second guess is badly dissolved flour"
Holes in baked cake,Could using a better source of flour work?,CANNOTANSWER
Holes in baked cake,I baked a cake and it has holes in it why?,"each time it happened, there was something just below the hole, let's call it ""the lump"
Holes in baked cake,Was it because the batter was uneven?,What I think happens is that the lump is too heavy
Holes in baked cake,Could it be uneven rising?,"When the batter below it tries to rise, it doesn't have the strength to push up the lump"
Holes in baked cake,How could this be prevented?,"folding the whites very gently, and generally erring on the side of too little whisking"
Holes in baked cake,Anything else?,my second guess is badly dissolved flour
Holes in baked cake,How long should I bake it?,CANNOTANSWER
Holes in baked cake,I precooked the pears in rum do you think that had anything to do with it?,CANNOTANSWER
How long is sugar (mixed with minor ingredients) good for?,How long is sugar (mixed with minor ingredients) good for?,They're good pretty much forever. There is not enough available water for things to grow in there
How long is sugar (mixed with minor ingredients) good for?,"I mixed them over a year ago, would it still be good?",As long as your flavoring pieces are small and well mixed with sugar they will not spoil
How long is sugar (mixed with minor ingredients) good for?,"Some I mixed with lemon/orange zest, will that pose a problem?",As long as your flavoring pieces are small and well mixed with sugar they will not spoil
How long is sugar (mixed with minor ingredients) good for?,Are you sure it will be safe to use?,They're good pretty much forever
How long is sugar (mixed with minor ingredients) good for?,How long is sugar (mixed with minor ingredients) good for?,They're good pretty much forever
How long is sugar (mixed with minor ingredients) good for?,What if they are mixed with lemon zest?,CANNOTANSWER
How long is sugar (mixed with minor ingredients) good for?,How long is sugar (mixed with minor ingredients) good for?,As long as your flavoring pieces are small and well mixed with sugar they will not spoil
How long is sugar (mixed with minor ingredients) good for?,What are the best flavors to mix with he sugar?,"The sugar absorbs water, giving the combination a very low water activity, meaning there's little water available for microorganisms to use in growth"
How long is sugar (mixed with minor ingredients) good for?,What are the procedures required in making flavored sugar?,There is not enough available water for things to grow in there
Do I need to coat beef in flour mixture for slow cooked stew?,Do I need to coat beef in flour mixture for slow cooked stew?,Browning your beef with some flour adds depth of flavor. The flour will act as a thickener
Do I need to coat beef in flour mixture for slow cooked stew?,do you have any other tips for a good stew?,You can thicken it up at the end if you like with a cornstarch slurry
Do I need to coat beef in flour mixture for slow cooked stew?,What if I don't want my stew that thick?,"However, unless you are browning the meat before adding to the cooker I would recommend you leave it out as uncooked flour might give your end dish a raw flour flavor"
Do I need to coat beef in flour mixture for slow cooked stew?,oh .. so I shouldn't use flour? I am confused,you are browning the meat before adding to the cooker
How do I get good results with marinaded venison?,"How do I get good results with marinaded venison?###I had some deer ragout and let it marinade one day in wine, brandy and with some spices. ###Then I added some fresh vegetables, cold water and put the heat on. Let it simmer for a couple of hours. The result was OK, but not great (and don't we all aspire for greatness?)###How can I improve on this technique?","This is of course dependent on the cut; loin is best grilled, shoulder is best braised (due to the connective tissue), leg is best roasted"
How do I get good results with marinaded venison?,oh okay###Should I have pan fried the meat first?,CANNOTANSWER
How do I get good results with marinaded venison?,any other suggestion for me,"it responds well to two cooking methods: very very fast and very very hot (grilling, perhaps roasting with a lot of basting, or lard the meat first), or very very slow and moist (braising"
How do I get good results with marinaded venison?,How do I get good results with marinaded venison?,"I wouldn't use plain water as a braising liquid. 50/50 water and red wine, or stock and wine, or just stock... cider would be lovely, so would various juices"
How do I get good results with marinaded venison?,"I did try it out with wine, brandy, and some spices. The result was okay. Do you have any other suggestions?","This is of course dependent on the cut; loin is best grilled, shoulder is best braised (due to the connective tissue), leg is best roasted"
How do I get good results with marinaded venison?,"I see. So, it does depend on the cut?","Venison is, generally, an extremely lean meat"
How do I get good results with marinaded venison?,Have you tried making one yourself?,it responds well to two cooking methods
How do I get good results with marinaded venison?,What are the two cooking methods?,"very very fast and very very hot (grilling, perhaps roasting with a lot of basting, or lard the meat first), or very very slow and moist (braising"
How do I get good results with marinaded venison?,Do you think I should pan fry the meat first before doing the rest of the steps?,"very very fast and very very hot (grilling, perhaps roasting with a lot of basting, or lard the meat first), or very very slow"
Is it a good idea to use cardamom in chili?,"Is it a good idea to use cardamom in chili?###I am preparing a chili for a contest. The recipe calls for cardamom (along with chili powder and cumin). I have never cooked with it before.### From my research, it seems this spice is used more commonly with Indian cuisine. I do love Indian food. In fact, a good Indian friend at work tells me he does use cardamom, but most usually for sweets.","Cincinnati Chili often has cardamom, along with cinnamon and cocoa. Cardamom is used in savory and sweet foods all over the world, not just in India"
Is it a good idea to use cardamom in chili?,But I wonder if the combination of cardamom and chili powder (and possibly cloves) will make my beef chili work.### Has anyone used this spice for anything other than sweets?,I love cardamom in savory. I make a Vietnamese Beef Noodle Soup (Pho) that I crave if I haven't had it for a while. It wouldn't be right without cardamom
Is it a good idea to use cardamom in chili?,oh. thats good to know.###Does anyone have strong feelings about using it or omitting it in a beef chili?,CANNOTANSWER
Is it a good idea to use cardamom in chili?,any other suggestions for me,"If you have reason to want to try this particular recipe, then try the recipe as written. There are thousands of beloved recipes for all kinds of chili"
"As a consumer in the UK, how can I choose well marbled beef?","As a consumer in the UK, how can I choose well marbled beef?","Top end butchers and grocery stores carry top end beef, and most of the time you do get what you pay for"
"As a consumer in the UK, how can I choose well marbled beef?","Since meat is heavy, I prefer to make my purchases online, do you know of a good online source?","With online meat shopping in the UK you have to go with the reputation of the source, there's no grading system which you can refer to"
"As a consumer in the UK, how can I choose well marbled beef?",Do you suggest I buy meat from the US?,"At the end of the day there's no substitute for getting your own eyes on the meat you are buying, so I would recommend you try local butcher shops"
"As a consumer in the UK, how can I choose well marbled beef?","When I approach butchers at say, Smithfield Market, they conflate quality with country of origin, is it because consumers are afraid of horsemeat?","There are some that will pawn off legs of lamb that are about to turn, and others which control their entire supply chain and have some of the best meat in the world"
"As a consumer in the UK, how can I choose well marbled beef?","As a consumer in the UK, how can I choose well marbled beef?",With online meat shopping in the UK you have to go with the reputation of the source
"As a consumer in the UK, how can I choose well marbled beef?",Does the marbling make the meat greasy?,I would recommend you try local butcher shops
"As a consumer in the UK, how can I choose well marbled beef?","I love a good steak, what cut is best?",most of the time you do get what you pay for
"As a consumer in the UK, how can I choose well marbled beef?",If I buy online will they trim the meat as well as if I bought it locally?,there's no grading system which you can refer to
"As a consumer in the UK, how can I choose well marbled beef?",What's the best way to cook a steak?,CANNOTANSWER
"As a consumer in the UK, how can I choose well marbled beef?",Is the shipping expensive if I buy online?,With online meat shopping in the UK you have to go with the reputation of the source
Is it okay to use a microwave in convection mode without the turntable?,Is it okay to use a microwave in convection mode without the turntable?,There is nothing wrong or damaging to have a metal tin touch the metal sides of your oven
Is it okay to use a microwave in convection mode without the turntable?,What is a damaging situation for my microwave ?,There is nothing wrong or damaging to have a metal tin touch the metal sides of your oven
Is it okay to use a microwave in convection mode without the turntable?,Is it okay to use a microwave in convection mode without the turntable?,Yes
Is it okay to use a microwave in convection mode without the turntable?,Even if my microwave doens't have a stop turntable button?,There is nothing wrong or damaging to have a metal tin touch the metal sides of your oven
Is it okay to use a microwave in convection mode without the turntable?,So can I remove it altogether and use just an oven rack ?,You have to make sure there are NO microwaves in this mode or else your metal will conduct and you could have a serious explosion or break your microwave oven.
Is it okay to use a microwave in convection mode without the turntable?,How can I avoid that?,CANNOTANSWER
Is it okay to use a microwave in convection mode without the turntable?,Will it result in uneven baking?,CANNOTANSWER
Is it okay to use a microwave in convection mode without the turntable?,Any other sugggestions?,CANNOTANSWER
Do I need a specific pot to cook Japanese-style rice?,Do I need a specific pot to cook Japanese-style rice?,"In my experience, rice can be cooked in any pot. I cook quite a lot of Japanese style dishes, and as far as I can tell the rice is cooked in the same way as any other"
Do I need a specific pot to cook Japanese-style rice?,Do you suggest a certain method?,"For myself, I've done it in good ""induction-able"" steel pots, as well as huge (navy galley) aluminium pots, and a couple of low-quality stainless steel things too. They're all fine"
Do I need a specific pot to cook Japanese-style rice?,Does the type of lid matter?,"Generally, once you've added the water, you put the lid on. You only start the timer when it's boiled and you turn it down, though. That's probably why a glass lid is better"
Do I need a specific pot to cook Japanese-style rice?,Is there a minimum time when boiling?,"Generally, once you've added the water, you put the lid on. You only start the timer when it's boiled and you turn it down, though"
Do I need a specific pot to cook Japanese-style rice?,Do I need a specific pot to cook Japanese-style rice?,"In my experience, rice can be cooked in any pot"
Do I need a specific pot to cook Japanese-style rice?,"So, from my understanding, there's like a minimum wait time when boiling, and then you pretty much just leave the lid on for a certain amount of time for it to cook. Am I doing something wrong?","Normally, as soon as the pot is at/near boiling, turn the heat down to a low setting and leave it in the pot until it's ready"
Do I need a specific pot to cook Japanese-style rice?,What should be the total recommend cooking time for the rice?,You only start the timer when it's boiled and you turn it down
Do I need a specific pot to cook Japanese-style rice?,"I also used Nishiki short-grained rice when I did mine, is that a good choice?",CANNOTANSWER
Do I need a specific pot to cook Japanese-style rice?,Do you have any other tips about the best way to cook rice?,"a glass lid is better, so you can see the boiling"
Do I need a specific pot to cook Japanese-style rice?,Should I boil or steam it?,boiling
Do I need a specific pot to cook Japanese-style rice?,Do I need a specific pot to cook Japanese-style rice?,"In my experience, rice can be cooked in any pot"
Do I need a specific pot to cook Japanese-style rice?,So how can I cook Japanese Style rice ?,"I cook quite a lot of Japanese style dishes, and as far as I can tell the rice is cooked in the same way as any other"
Do I need a specific pot to cook Japanese-style rice?,Should I add any special ingredients to it ?,CANNOTANSWER
Do I need a specific pot to cook Japanese-style rice?,What is the water to rice ratio I should use ?,CANNOTANSWER
Do I need a specific pot to cook Japanese-style rice?,Do You have any other tips for cooking rice ?,"Normally, as soon as the pot is at/near boiling, turn the heat down to a low setting and leave it in the pot until it's ready"
Using other liquid than water when making stock,Can I use beer for making a better stock ?,There's no particular reason you couldn't prepare a stock with something other than water
Using other liquid than water when making stock,Do you have any suggestions other than beer ?,"it is a foundation for other things, versatile and effective, subtly enhancing without overwhelming the dish"
Using other liquid than water when making stock,Can I use other liquid than water when making stock?,There's no particular reason you couldn't prepare a stock with something other than water
Using other liquid than water when making stock,Would it be weird to use lager?,"For your beer idea, for example, I would cook down a couple bottles and add some stock to it"
Using other liquid than water when making stock,Do you know if anyone has ever tried it?,CANNOTANSWER
Using other liquid than water when making stock,Is there a way to make stock not be so boring?,"The thing is, stock is meant to be as boring as plain white photocopy paper -- it is a foundation for other things, versatile and effective, subtly enhancing without overwhelming the dish"
Using other liquid than water when making stock,Is it commonly done this way?,CANNOTANSWER
Using other liquid than water when making stock,Would you suggest doing it this way?,I would cook down a couple bottles and add some stock to it
Why whole peppercorns?,Why whole peppercorns in recipes?,I'd assume that the whole vs. cracked isn't going to be helpful in removing them
Why whole peppercorns?,Why not crack them to use less?,"Part of the reason for whole pepercorns is the surface area -- if you crack it, you'll create more surface area, and for the same amount of pepper, there'd be more pepper flavor"
Why whole peppercorns?,How do you know how much to use for the amount of pepper flavor you want?,CANNOTANSWER
Why whole peppercorns?,Can you tell me what you mean by surface area with the peppercorns?,the surface area
Why whole peppercorns?,How is there a top area...isn't a peppercorn round?,whole pepercorns
Why whole peppercorns?,Why whole peppercorns?,Part of the reason for whole pepercorns is the surface area
Why whole peppercorns?,Is there anything else you can tell me about the surface area?,"if you crack it, you'll create more surface area, and for the same amount of pepper, there'd be more pepper flavor"
Why whole peppercorns?,Anything else you can tell me about it?,It's also possible that there's a difference between the chemicals available in the outer hull of the peppercorn vs. the middle
Why whole peppercorns?,Have you ever used a recipe that had whole peppercorns?,CANNOTANSWER
Why whole peppercorns?,"Ok, have you ever seen a recipe that uses whole pepper corns if you haven't used one?",I will admit that I can't recall seeing a recipe that called for whole peppercorns that didn't require cracking them
Is there a definitive way to know if a tin can is lined with BPA?,Is there a definitive way to know if a tin can is lined with BPA?,"Probably not. Cans are generally marked at point of filling, not at point of manufacturing"
Is there a definitive way to know if a tin can is lined with BPA?,Is there something obvious from the appearance of the inside of the can?,"The plastic liner looks plastic'y in all cases, it's very hard to tell. Epoxy is harder than other plastics, but there are epoxies that are BPA free anyway"
Is there a definitive way to know if a tin can is lined with BPA?,Can the place of manufacture/packaging give an indication?,CANNOTANSWER
Is there a definitive way to know if a tin can is lined with BPA?,Are there any other indications?,Having said that the tested BPA release from a can is 100's of times lower than the recommended maximum daily dose. So in theory there is nothing to really worry about
Is there a definitive way to know if a tin can is lined with BPA?,"It has been linked to many health issues, is this in error?",CANNOTANSWER
Is there a definitive way to know if a tin can is lined with BPA?,Is there a definitive way to know if a tin can is lined with BPA?,"Probably not. Cans are generally marked at point of filling, not at point of manufacturing"
Is there a definitive way to know if a tin can is lined with BPA?,Is there any sign of BPA just from looking at the inside of the can?,"The plastic liner looks plastic'y in all cases, it's very hard to tel"
Is there a definitive way to know if a tin can is lined with BPA?,Why should BPA in cans be avoided?,CANNOTANSWER
Is there a definitive way to know if a tin can is lined with BPA?,Why is BPA even used in cans?,The whole reason it's there is to stop the contents 'eating' the can
Is there a definitive way to know if a tin can is lined with BPA?,Are there cans that don't have BPA?,CANNOTANSWER
Is there a definitive way to know if a tin can is lined with BPA?,Does the use of BPA depend on the manufacturer?,Probably not
Should homemade lasagna be frozen cooked or uncooked?,Should homemade lasagna be frozen cooked or uncooked?,I'd say freeze nearly all of them uncooked and bake when ready
Should homemade lasagna be frozen cooked or uncooked?,Can you freeze the no boil noodles if you haven't baked them?,"Unfortunately, your noodles will likely take the hardest hit, but will likely fare better than going through two heat cycles"
Should homemade lasagna be frozen cooked or uncooked?,Will it affect the ricotta or fresh mozzarella to be frozen without baking?,You have much better chance of enjoying a good meal with the cheese frozen raw
Should homemade lasagna be frozen cooked or uncooked?,Should homemade lasagna be frozen cooked or uncooked?,I'd say freeze nearly all of them uncooked and bake when ready
Should homemade lasagna be frozen cooked or uncooked?,Does it matter what type of noodle you use?,CANNOTANSWER
Should homemade lasagna be frozen cooked or uncooked?,Does it matter if you are using frozen veggies?,"it's been baked, it's not going to hold as well when thawed and re-warmed"
Should homemade lasagna be frozen cooked or uncooked?,Does it mater what type of cheese you use?,"Mozzarella is a pretty sensitive cheese and once it's been baked, it's not going to hold as well when thawed and re-warmed"
Should homemade lasagna be frozen cooked or uncooked?,Does it matter if the meat was cooked all the way through without baking?,The sauce and and the cheese will freeze ok
Do I need to seal the food with food wrap before put them in the fridge?,"Do I need to seal the food with food wrap before put them in the fridge?###I've always seen friends putting leftover, cooked food in the fridge with food wrap. ### I asked them why they are doing it and they don't even know why they are doing it. ###It is necessary to put just cooked food in the fridge with food wrap?",Wrapping food in plastic wrap before refrigerating has a few obvious benefits
Do I need to seal the food with food wrap before put them in the fridge?,such as?,"1) keeps the food from drying out in the fridge.2) prevents odors (garlic, onions, fish, etc.) from transferring between the item in question and everything else in the fridge"
Do I need to seal the food with food wrap before put them in the fridge?,I see. ###So you recommend sealing it with food wrap?,"But no, you don't have to use the plastic wrap; it's just a custom."
Do I need to seal the food with food wrap before put them in the fridge?,what do you suggest?,"keeps crumbs, extraneous particles from falling into the food. If there were a lot of mold/microbe life already proliferating in the other refrigerated goodies"
Do I need to seal the food with food wrap before put them in the fridge?,any other suggestions for me,CANNOTANSWER
Do I need to seal the food with food wrap before put them in the fridge?,Do I need to seal the food with food wrap before put them in the fridge?,Wrapping food in plastic wrap before refrigerating has a few obvious benefits:1) keeps the food from drying out in the fridge
Do I need to seal the food with food wrap before put them in the fridge?,What are benefits of wrapping food in plastic wrap besides keeping food moist?,"prevents odors (garlic, onions, fish, etc.) from transferring between the item in question and everything else in the fridge"
Do I need to seal the food with food wrap before put them in the fridge?,It is necessary to put just cooked food in the fridge with food wrap?,you don't have to use the plastic wrap; it's just a custom
Do I need to seal the food with food wrap before put them in the fridge?,Are there any other benefits of using food wrap?,"keeps crumbs, extraneous particles from falling into the food. If there were a lot of mold/microbe life already proliferating in the other refrigerated goodies"
Do I need to seal the food with food wrap before put them in the fridge?,Are there any times when plastic wrap should be avoided for food?,CANNOTANSWER
Would a fruit cocktail flavoured cake work?,Would a fruit cocktail flavoured cake work?,CANNOTANSWER
Would a fruit cocktail flavoured cake work?,Can you make a cake with many different fruit flavors?,You might need a bit of food colouring if you want to emphasise the visual aspects of rainbow layers
Would a fruit cocktail flavoured cake work?,Will food coloring affect the flavor?,CANNOTANSWER
Would a fruit cocktail flavoured cake work?,Is there any fruit flavor I should avoid because it doesn't go well with other fruit?,CANNOTANSWER
Would a fruit cocktail flavoured cake work?,Would a fruit cocktail flavoured cake work?,Orange and lemon cakes are classics
Would a fruit cocktail flavoured cake work?,What other idea do you have on baking cakes?,"I'm not entirely sure how you'd go about making the others, but there should be a way to incorporate fruit puree into cake batter so that the cakes still rise and set"
Would a fruit cocktail flavoured cake work?,Do you have any idea on baking Cinderella princess cake?,"Blueberry, blackberry and raspberry can all be added whole or slightly chopped into a cake"
Would a fruit cocktail flavoured cake work?,What can I do to layers of cake to make it taste fruity?,there should be a way to incorporate fruit puree into cake batter so that the cakes still rise and set
Would a fruit cocktail flavoured cake work?,Which types of fruits do you think i can add to form the rainbow color?,You might need a bit of food colouring if you want to emphasise the visual aspects of rainbow layers
Would a fruit cocktail flavoured cake work?,Do you have any suggestion on what to make it taste great?,kiwi and strawberry
Why was there not enough foam in my garlic foam with soy lecithin?,This is my first time making a foam using soy lecithin but I want to know why there was not enough foam?,Just an idea... I've had problems making foam because of hard/basic tap water (a lot of chalk in the water
Why was there not enough foam in my garlic foam with soy lecithin?,How much foam should I expect?,CANNOTANSWER
Why was there not enough foam in my garlic foam with soy lecithin?,I put the foam I did get from my first try in the fridge. Is there any way to salvage this?,CANNOTANSWER
Why was there not enough foam in my garlic foam with soy lecithin?,What is the best recipe to get the correct amount of foam with soy lecithin?,Foam will more easily form in soft water
Why was there not enough foam in my garlic foam with soy lecithin?,If I can't use basic tap water what type of water should I use?,Another idea would be to add just enough acid for neutralisation but I imagine that could be a bit tricky and you'd risk the milk curdling so I wouldn't recommend it
Why was there not enough foam in my garlic foam with soy lecithin?,Why was there not enough foam in my garlic foam with soy lecithin?,"Just an idea... I've had problems making foam because of hard/basic tap water (a lot of chalk in the water) - making frape though, not garlic foam"
Why was there not enough foam in my garlic foam with soy lecithin?,This was my first attempt at making a foam using soy lecithin do you think that will help?,If you have hard tap water you could try using boiled water (some of the chalk in the water will react and leave a residue on the bottom of the pot) or bottled water with pH 7 (neutral
Why was there not enough foam in my garlic foam with soy lecithin?,I got a bit of foam on top but there wasnt a lot of it. It felt like a waste of a lot of milk. How much foam should I be expecting?,CANNOTANSWER
Why was there not enough foam in my garlic foam with soy lecithin?,I used an immersion blender do you think that made a difference?,Another idea would be to add just enough acid for neutralisation but I imagine that could be a bit tricky and you'd risk the milk curdling so I wouldn't recommend it
Why was there not enough foam in my garlic foam with soy lecithin?,"I used 3 garlic cloves, 2/3 cup water, 2/3 cup milk anything else I should use?",CANNOTANSWER
Why was there not enough foam in my garlic foam with soy lecithin?,"For now, I put the foamy mixture in the fridge, is there a way to salvage and get more foam?",CANNOTANSWER
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?","If I'm using milk as an ingredient in soup, how can I prevent it from curdling?","For protection against heat, you can stabalize the milk with starches. (eg, a white sauce made with milk won't curdle, even if you boil it"
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?","Many chicken stock based soups use milk, but they curdle. How can I offset this?",CANNOTANSWER
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?",What starches can I stabilize it with?,"For soups, you're likely better off making a corn starch"
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?",How do I make a corn starch?,CANNOTANSWER
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?",Why is a corn starch better for soups?,so you don't have to cook it like you would flour to get rid of the raw flour taste
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?",Are there any other starches I could use?,CANNOTANSWER
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?","If I'm using milk as an ingredient in soup, how can I prevent it from curdling?","For protection against heat, you can stabalize the milk with starches. (eg, a white sauce made with milk won't curdle, even if you boil it"
"If I'm using milk as an ingredient in soup, how can I prevent it from curdling?",What kind of starches can I use ?,"For soups, you're likely better off making a corn starch/milk slurry before adding the milk, so you don't have to cook it like you would flour to get rid of the raw flour taste"
How to keep baked seitan from being too tough?,How to keep baked seitan from being too tough?,"I read once that you should briefly soak seitan in a bowl, covered in boiled water, to soften it up before using it"
How to keep baked seitan from being too tough?,How long should I soak it?,"I typically cut it into cubes, soak it for about 10-15 minutes"
How to keep baked seitan from being too tough?,What about soaking it in broth instead?,CANNOTANSWER
How to keep baked seitan from being too tough?,What do you do after you soak it/,drain it and proceeded as normal for the recipe
How to keep baked seitan from being too tough?,What recipe do you recommend?,CANNOTANSWER
How to keep baked seitan from being too tough?,What temperature do you bake it at?,CANNOTANSWER
How to keep baked seitan from being too tough?,How to keep baked seitan from being too tough?###,"For what it's worth, I read once that you should briefly soak seitan in a bowl, covered in boiled water, to soften it up before using it"
How to keep baked seitan from being too tough?,how to make soft?,"I typically cut it into cubes, soak it for about 10-15 minutes"
How to keep baked seitan from being too tough?,where is it better to cook it?,CANNOTANSWER
How to keep baked seitan from being too tough?,Is a slow cooker good ?,CANNOTANSWER
How to keep baked seitan from being too tough?,do you cook it often?,"I have tried this, and it really does make a difference in the final texture"
How to keep baked seitan from being too tough?,do you have any advice ?,then drain it and proceeded as normal for the recipe.
Can I make cakes in a tagine?,Can I make cakes in a tagine?,CANNOTANSWER
Can I make cakes in a tagine?,"I'd like to make cakes, but where I live now doesn't have an oven. Do you know how I might be able to do that?",I seem to recall that in Moroccan cities there are often 'neighbourhood' ovens where you pay a small amount to have your bread baked
Can I make cakes in a tagine?,That might be something that could work! How can I find one?,CANNOTANSWER
Can I make cakes in a tagine?,Do you know what other kinds of things I can bake in them?,CANNOTANSWER
Why does caffeine taste bitter when added to tea?,Why does caffeine taste bitter when added to tea?,Caffeine is bitter
Why does caffeine taste bitter when added to tea?,Why doesn't caffeine that is already in the tea or in an energy drink taste bitter?,Energy drinks have copious amounts of sweeteners added hence why they don't taste like caffeine
Why does caffeine taste bitter when added to tea?,How should caffeine be added to drinkable fluids so it has no taste?,Try adding 3 tea bags to your cup and I'm certain it'll taste just as bitter
Why does caffeine taste bitter when added to tea?,What can be done to make it taste better without adding lots of sugar?,If you are hell bent on more caffeine without the associated bitterness but not adding sugar maybe a sweetener like stevia would be the way forward
Why does caffeine taste bitter when added to tea?,Why is caffeine bitter?,CANNOTANSWER
Why does caffeine taste bitter when added to tea?,How much caffeine is in different kinds of tea naturally?,40mg of caffeine
Why does caffeine taste bitter when added to tea?,"Why does caffeine taste bitter when added to tea?###Black tea contains about 40 mg of caffeine. When adding 80 mg of caffeine powder, the tea tastes bitter.###Why doesn't caffeine that is already in the tea or in an energy drink taste bitter",Caffeine is bitter
Why does caffeine taste bitter when added to tea?,how should caffeine be added to drinkable fluids so it has no taste?,If you are hell bent on more caffeine without the associated bitterness but not adding sugar maybe a sweetener like stevia would be the way forward
Why does caffeine taste bitter when added to tea?,yeah. that might work###any other suggestions you may have,CANNOTANSWER
Sauerkraut for hot dogs,Sauerkraut for hot dogs,"It really comes down to taste. In this usage, you're treating sauerkraut like a condiment so there's not really a ""correct"" answer"
Sauerkraut for hot dogs,Would you serve anything else with it?,"Personally, I just eat sauerkraut with a fork"
Sauerkraut for hot dogs,would you wash it before eating?,CANNOTANSWER
Sauerkraut for hot dogs,is there any other advice you could give me/,"if I have it on a dog, I pile it on with dill relish, country style dijon mustard, a dash of sriracha, and some diced onion. I recommend not kissing anyone for awhile after eating"
Sauerkraut for hot dogs,I have recently started using Sauerkraut for hot dogs. Is this traditionally washed?,CANNOTANSWER
Sauerkraut for hot dogs,Do you have any tips on making Sauerkraut?,"It really comes down to taste. In this usage, you're treating sauerkraut like a condiment so there's not really a ""correct"" answer"
Sauerkraut for hot dogs,What if I wanted a milder flavor?,"I pile it on with dill relish, country style dijon mustard, a dash of sriracha, and some diced onion"
Sauerkraut for hot dogs,Is the way they make it in the US similar to the way the way they make it in Germany?,CANNOTANSWER
Sauerkraut for hot dogs,How is Sauerkraut made?,CANNOTANSWER
Over-stirring muffin mixtures,Why does over-stirring the muffin mixture result in tough muffins?,e eas
Over-stirring muffin mixtures,Why does over-stirring the muffin mixture result in tough muffins? I ask questions and you use what you have on the page to answer.,"Stirring develops gluten, which is essential to trap in bubbles for most yeast breads, and to give it a little bit of chew -- but not something that you want in a typical quick bread"
Over-stirring muffin mixtures,I do I know when I have stirred enough?###how do i?,"The easiest way to tell if you've over stirred muffins, quick breads or cakes is the texture when it's baked"
Over-stirring muffin mixtures,Why does over-stirring the muffin mixture result in tough muffins?,"Stirring develops gluten, which is essential to trap in bubbles for most yeast breads, and to give it a little bit of chew -- but not something that you want in a typical quick bread"
Over-stirring muffin mixtures,"In muffin recipes, the instructions often say to stir the mixture till ""just combined"", what exactly does this mean?","Correct, and it's all even. Over stirred, and you'll have a series of larger bubbles in the cake, called 'tunneling', where it looks like worms have burrowed their way through your cake or muffin"
Over-stirring muffin mixtures,How do you know if you did too much stirring?,"The easiest way to tell if you've over stirred muffins, quick breads or cakes is the texture when it's baked"
Over-stirring muffin mixtures,So there is no way to tell before baking it?,e easiest
Over-stirring muffin mixtures,What does the mix look like if stirred correctly?,CANNOTANSWER
What is a thorough way to clean my dish rack?,What is a thorough way to clean my dish rack?,Scrub it with a long-handled scrub brush and either liquid bleach or Ajax and water
What is a thorough way to clean my dish rack?,We've had it for about 6 months now and I'm noticing pink mold...will it remove the mold?,will kill off any organics growing on it
What is a thorough way to clean my dish rack?,What might be causing the pink mold?,"In my experience, the pink stuff is a mold"
What is a thorough way to clean my dish rack?,How can I prevent it from building up like it does?,CANNOTANSWER
What is a thorough way to clean my dish rack?,Is the soft scrub safe on stainless steel...the sides of dishrack are stainless?,CANNOTANSWER
What is a thorough way to clean my dish rack?,Do you think food particles could be causing the pink mold?,CANNOTANSWER
What is a thorough way to clean my dish rack?,Any suggestions on how to clean my dish rack?,Scrub it with a long-handled scrub brush and either liquid bleach or Ajax and water
What is a thorough way to clean my dish rack?,Will the Ajax scratch the stainless steel?,"Since it's stainless steel, the bleach won't do it any harm"
What is a thorough way to clean my dish rack?,Should I clean it often?,CANNOTANSWER
What is a thorough way to clean my dish rack?,What is the pink stuff the builds up on it?,"In my experience, the pink stuff is a mold, not flouride"
What is a thorough way to clean my dish rack?,That's gross. Any other tips on cleaning the dish rack?,Let it soak a bit before rinsing it out
What is a thorough way to clean my dish rack?,Should I use bleach?,Bleach is your best bet
How to store bagels?,I make six bagles at a time to eat during the week; what is the best way to store them?,I would keep the one that you are eating the next day out. I would then freeze the rest of them
How to store bagels?,What will maintain the best quality overall?,"If you like them warm, you could freeze them wrapped in foil. Before eating pop them in a toaster oven until gently warmed through"
